x,y
1,0
3,0
5,0
6,0
8,0
9,0
10,0
11,0
13,0
14,0
16,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
26,0
28,0
30,0
1,2
3,2
5,2
6,2
8,2
9,2
10,2
11,2
13,2
14,2
16,2
18,2
19,2
20,2
21,2
22,2
23,2
24,2
26,2
28,2
30,2
1,3
3,3
5,3
6,3
8,3
9,3
10,3
11,3
13,3
14,3
16,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
26,3
28,3
30,3
1,4
3,4
5,4
6,4
8,4
9,4
10,4
11,4
13,4
14,4
16,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
26,4
28,4
30,4
1,5
3,5
5,5
6,5
8,5
9,5
10,5
11,5
13,5
14,5
16,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
26,5
28,5
30,5
1,6
3,6
5,6
6,6
8,6
9,6
10,6
11,6
13,6
14,6
16,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
26,6
28,6
30,6
1,8
3,8
5,8
6,8
8,8
9,8
10,8
11,8
13,8
14,8
16,8
18,8
19,8
20,8
21,8
22,8
23,8
24,8
26,8
28,8
30,8
1,9
3,9
5,9
6,9
8,9
9,9
10,9
11,9
13,9
14,9
16,9
18,9
19,9
20,9
21,9
22,9
23,9
24,9
26,9
28,9
30,9
1,10
3,10
5,10
6,10
8,10
9,10
10,10
11,10
13,10
14,10
16,10
18,10
19,10
20,10
21,10
22,10
23,10
24,10
26,10
28,10
30,10
1,11
3,11
5,11
6,11
8,11
9,11
10,11
11,11
13,11
14,11
16,11
18,11
19,11
20,11
21,11
22,11
23,11
24,11
26,11
28,11
30,11
1,12
3,12
5,12
6,12
8,12
9,12
10,12
11,12
13,12
14,12
16,12
18,12
19,12
20,12
21,12
22,12
23,12
24,12
26,12
28,12
30,12
1,13
3,13
5,13
6,13
8,13
9,13
10,13
11,13
13,13
14,13
16,13
18,13
19,13
20,13
21,13
22,13
23,13
24,13
26,13
28,13
30,13
1,15
3,15
5,15
6,15
8,15
9,15
10,15
11,15
13,15
14,15
16,15
18,15
19,15
20,15
21,15
22,15
23,15
24,15
26,15
28,15
30,15
1,16
3,16
5,16
6,16
8,16
9,16
10,16
11,16
13,16
14,16
16,16
18,16
19,16
20,16
21,16
22,16
23,16
24,16
26,16
28,16
30,16
1,18
3,18
5,18
6,18
8,18
9,18
10,18
11,18
13,18
14,18
16,18
18,18
19,18
20,18
21,18
22,18
23,18
24,18
26,18
28,18
30,18
1,19
3,19
5,19
6,19
8,19
9,19
10,19
11,19
13,19
14,19
16,19
18,19
19,19
20,19
21,19
22,19
23,19
24,19
26,19
28,19
30,19
18,20
19,20
20,20
21,20
22,20
23,20
24,20
25,20
1,21
3,21
5,21
6,21
8,21
9,21
10,21
11,21
13,21
14,21
16,21
18,21
19,21
20,21
21,21
22,21
23,21
24,21
26,21
28,21
30,21
1,22
3,22
5,22
6,22
8,22
9,22
10,22
11,22
13,22
14,22
16,22
18,22
19,22
20,22
21,22
22,22
23,22
24,22
26,22
28,22
30,22
1,24
3,24
5,24
6,24
8,24
9,24
10,24
11,24
13,24
14,24
16,24
18,24
19,24
20,24
21,24
22,24
23,24
24,24
26,24
28,24
30,24
1,25
3,25
5,25
6,25
8,25
9,25
10,25
11,25
13,25
14,25
16,25
18,25
19,25
20,25
21,25
22,25
23,25
24,25
26,25
28,25
30,25
1,26
3,26
5,26
6,26
8,26
9,26
10,26
11,26
13,26
14,26
16,26
18,26
19,26
20,26
21,26
22,26
23,26
24,26
26,26
28,26
30,26
1,27
3,27
5,27
6,27
8,27
9,27
10,27
11,27
13,27
14,27
16,27
18,27
19,27
20,27
21,27
22,27
23,27
24,27
26,27
28,27
30,27
1,28
3,28
5,28
6,28
8,28
9,28
10,28
11,28
13,28
14,28
16,28
18,28
19,28
20,28
21,28
22,28
23,28
24,28
26,28
28,28
30,28
1,29
3,29
5,29
6,29
8,29
9,29
10,29
11,29
13,29
14,29
16,29
18,29
19,29
20,29
21,29
22,29
23,29
24,29
26,29
28,29
30,29
1,31
3,31
5,31
6,31
8,31
9,31
10,31
11,31
13,31
14,31
16,31
18,31
19,31
20,31
21,31
22,31
23,31
24,31
26,31
28,31
30,31
